sample	tool	auprc
1000-4000	AMULET	0.3399786840596809
1000-4000	AMULET	0.3122427300092274
1000-4000	AMULET	0.3414640655143285
1000-4000	AMULET	0.28527309566319314
1000-4000	AMULET	0.34354376785411267
1000-4000	AMULET	0.2994394494394495
1000-4000	AMULET	0.3145955032916755
1000-4000	AMULET	0.33466062053790246
1000-4000	AMULET	0.28803576286264243
1000-4000	AMULET	0.2871333461278473
1000-4000	Scrublet	0.6330312391688255
1000-4000	Scrublet	0.6491769731619815
1000-4000	Scrublet	0.5515127984598436
1000-4000	Scrublet	0.6952604493800244
1000-4000	Scrublet	0.6475049927446693
1000-4000	Scrublet	0.6132117848603633
1000-4000	Scrublet	0.6267745436892
1000-4000	Scrublet	0.4818583111384079
1000-4000	Scrublet	0.6261725979106935
1000-4000	Scrublet	0.6075333713822738
4000-7000	AMULET	0.6284009768217339
4000-7000	AMULET	0.6396608422121305
4000-7000	AMULET	0.6020065982399986
4000-7000	AMULET	0.5574943355051011
4000-7000	AMULET	0.5776138834343196
4000-7000	AMULET	0.5899948177352269
4000-7000	AMULET	0.5783318726842676
4000-7000	AMULET	0.5744723672520708
4000-7000	AMULET	0.674741264013352
4000-7000	AMULET	0.5711267127933795
4000-7000	Scrublet	0.6273425872298419
4000-7000	Scrublet	0.6385216162149918
4000-7000	Scrublet	0.7364812623429488
4000-7000	Scrublet	0.6489620534232236
4000-7000	Scrublet	0.5739543892501131
4000-7000	Scrublet	0.6109423844370726
4000-7000	Scrublet	0.5874328031541599
4000-7000	Scrublet	0.510560649016295
4000-7000	Scrublet	0.5316019158681431
4000-7000	Scrublet	0.5740895381405766
7000-10000	AMULET	0.8226226591801592
7000-10000	AMULET	0.8213591527135956
7000-10000	AMULET	0.8105037293283586
7000-10000	AMULET	0.8218431099543005
7000-10000	AMULET	0.8427817114707694
7000-10000	AMULET	0.7973821802209585
7000-10000	AMULET	0.829137817044541
7000-10000	AMULET	0.834212066382249
7000-10000	AMULET	0.8518901962613848
7000-10000	AMULET	0.7911430043983467
7000-10000	Scrublet	0.5256053533068157
7000-10000	Scrublet	0.5738586949889033
7000-10000	Scrublet	0.6069761565872019
7000-10000	Scrublet	0.6546383357377592
7000-10000	Scrublet	0.6237018649502192
7000-10000	Scrublet	0.634570810678815
7000-10000	Scrublet	0.6772220546633926
7000-10000	Scrublet	0.5347825536156361
7000-10000	Scrublet	0.586565075142952
7000-10000	Scrublet	0.629220515140045
10000-13000	AMULET	0.9310718315453885
10000-13000	AMULET	0.960223055706188
10000-13000	AMULET	0.9327299047427904
10000-13000	AMULET	0.9295508320857065
10000-13000	AMULET	0.9255583378881156
10000-13000	AMULET	0.9346729229528045
10000-13000	AMULET	0.9476728219193464
10000-13000	AMULET	0.9674286794334035
10000-13000	AMULET	0.9613304306788687
10000-13000	AMULET	0.9414809857643232
10000-13000	Scrublet	0.6077471950215615
10000-13000	Scrublet	0.5552907431002252
10000-13000	Scrublet	0.5144290454257456
10000-13000	Scrublet	0.655833909004451
10000-13000	Scrublet	0.5888685959219875
10000-13000	Scrublet	0.5204409118553804
10000-13000	Scrublet	0.5191811588509703
10000-13000	Scrublet	0.5140375641294783
10000-13000	Scrublet	0.6384452440821853
10000-13000	Scrublet	0.5858336501052929
