sample	tool	auprc
CEMBA180104_4B	AMULET	0.2389212840971811
CEMBA180104_4B	Scrublet	0.4632337552118942
CEMBA180104_4B	Scrublet	0.5132923558027969
CEMBA180104_4B	Scrublet	0.45128438865662557
CEMBA180104_4B	Scrublet	0.4182282876654827
CEMBA180104_4B	Scrublet	0.4190206948121362
CEMBA180104_4B	Scrublet	0.39670637895851324
CEMBA180104_4B	Scrublet	0.4933846335858711
CEMBA180104_4B	Scrublet	0.5276262293082723
CEMBA180104_4B	Scrublet	0.5597297442491137
CEMBA180104_4B	Scrublet	0.5631198447075156
CEMBA180612_5D	AMULET	0.6400519052492485
CEMBA180612_5D	AMULET	0.5574070187948713
CEMBA180612_5D	AMULET	0.6064003613345718
CEMBA180612_5D	AMULET	0.5671819565836564
CEMBA180612_5D	AMULET	0.636027125590693
CEMBA180612_5D	AMULET	0.5877917477276775
CEMBA180612_5D	AMULET	0.5808971939636365
CEMBA180612_5D	AMULET	0.5852524937905633
CEMBA180612_5D	AMULET	0.5587677457009995
CEMBA180612_5D	AMULET	0.5603934014918863
CEMBA180612_5D	Scrublet	0.4398258310271155
CEMBA180612_5D	Scrublet	0.4076628336059403
CEMBA180612_5D	Scrublet	0.3846165467604544
CEMBA180612_5D	Scrublet	0.43157996986388225
CEMBA180612_5D	Scrublet	0.36348316646710094
CEMBA180612_5D	Scrublet	0.4371266495955489
CEMBA180612_5D	Scrublet	0.41999240305746344
CEMBA180612_5D	Scrublet	0.3969600971200944
CEMBA180612_5D	Scrublet	0.36234628949421077
CEMBA180612_5D	Scrublet	0.3433528340717453
CEMBA180618_5D	AMULET	0.4621682321827179
CEMBA180618_5D	AMULET	0.44203440982710385
CEMBA180618_5D	AMULET	0.5632216298438094
CEMBA180618_5D	AMULET	0.48879059603583724
CEMBA180618_5D	AMULET	0.5199467076590412
CEMBA180618_5D	AMULET	0.46023128411742276
CEMBA180618_5D	AMULET	0.5234077851498604
CEMBA180618_5D	AMULET	0.44835524117394104
CEMBA180618_5D	AMULET	0.521425721776599
CEMBA180618_5D	AMULET	0.4939531794870506
CEMBA180618_5D	Scrublet	0.48394883634690133
CEMBA180618_5D	Scrublet	0.4433851371712105
CEMBA180618_5D	Scrublet	0.5494718399283446
CEMBA180618_5D	Scrublet	0.4549853539474868
CEMBA180618_5D	Scrublet	0.4579640886625816
CEMBA180618_5D	Scrublet	0.5007811592315933
CEMBA180618_5D	Scrublet	0.45127665978932263
CEMBA180618_5D	Scrublet	0.48428371393220987
CEMBA180618_5D	Scrublet	0.4461012465603941
CEMBA180618_5D	Scrublet	0.4919783032575796
