sample	tool	auprc
CEMBA180104_4B	AMULET	0.31468357475222464
CEMBA180104_4B	Scrublet	0.49670124234384805
CEMBA180104_4B	Scrublet	0.4039141453752026
CEMBA180104_4B	Scrublet	0.4656666054526764
CEMBA180104_4B	Scrublet	0.5981231337014011
CEMBA180104_4B	Scrublet	0.40065816849898594
CEMBA180104_4B	Scrublet	0.39807284030257867
CEMBA180104_4B	Scrublet	0.41634604504594647
CEMBA180104_4B	Scrublet	0.5209277250804704
CEMBA180104_4B	Scrublet	0.4386069151674223
CEMBA180104_4B	Scrublet	0.5325109354001725
CEMBA180612_5D	AMULET	0.3949692082097295
CEMBA180612_5D	AMULET	0.3926929551929552
CEMBA180612_5D	AMULET	0.44178856373978326
CEMBA180612_5D	AMULET	0.4203091047751242
CEMBA180612_5D	AMULET	0.3754852498768505
CEMBA180612_5D	AMULET	0.36232393478770286
CEMBA180612_5D	AMULET	0.44820329347028376
CEMBA180612_5D	AMULET	0.4356989872533913
CEMBA180612_5D	AMULET	0.43267380767380764
CEMBA180612_5D	AMULET	0.3479080819862943
CEMBA180612_5D	Scrublet	0.572990950136304
CEMBA180612_5D	Scrublet	0.5633292357688066
CEMBA180612_5D	Scrublet	0.6251053811379574
CEMBA180612_5D	Scrublet	0.6340753281358071
CEMBA180612_5D	Scrublet	0.6193184025304659
CEMBA180612_5D	Scrublet	0.7039918221800221
CEMBA180612_5D	Scrublet	0.47709944465172266
CEMBA180612_5D	Scrublet	0.5283821905580453
CEMBA180612_5D	Scrublet	0.5841348893294568
CEMBA180612_5D	Scrublet	0.5902368223402137
CEMBA180618_5D	AMULET	0.3265004440939729
CEMBA180618_5D	AMULET	0.4064311714012313
CEMBA180618_5D	AMULET	0.4482312867372413
CEMBA180618_5D	AMULET	0.32405397022332505
CEMBA180618_5D	AMULET	0.3670742837409504
CEMBA180618_5D	AMULET	0.40759085126674066
CEMBA180618_5D	AMULET	0.450326662736083
CEMBA180618_5D	AMULET	0.402081007472535
CEMBA180618_5D	AMULET	0.33976290116640995
CEMBA180618_5D	AMULET	0.3586270232197834
CEMBA180618_5D	Scrublet	0.5472288028490045
CEMBA180618_5D	Scrublet	0.5608608803017856
CEMBA180618_5D	Scrublet	0.4770728373982368
CEMBA180618_5D	Scrublet	0.7066881426267417
CEMBA180618_5D	Scrublet	0.5117323664440335
CEMBA180618_5D	Scrublet	0.5114475071144483
CEMBA180618_5D	Scrublet	0.5441660622999392
CEMBA180618_5D	Scrublet	0.580175030700609
CEMBA180618_5D	Scrublet	0.559556388455701
CEMBA180618_5D	Scrublet	0.6142288858822786
